Millburn CW,vs,Summit TM,Bronx 2025,Triples,https://youtu.be/XXl6cZIenp0,Southern Border Surveillance
East Ridge MV,vs,Blake CK,Bronx 2024,R7,https://www.youtube.com/watch?v=poHg1kX6SfQ,Southern Border Surveillance
,,,,,,
Charlotte Latin BW,vs,BASIS Peoria GV,Yale 2024,Quarters,https://youtu.be/G1YxmQmwiTk,Southern Border Surveillance
Trinity Prep CD,vs,BASIS Peoria GV,Yale 2024,Doubles,https://youtu.be/ns8BqTGPjCg,Southern Border Surveillance
,,,,,,
Strake GZ,vs,Montgomery Blair LT,UK 2024,Semis,https://www.youtube.com/watch?v=9vVjmfvYLSM,Southern Border Surveillance
Richard Montgomery XC,vs,Blake LB,UK 2024,Octos,https://www.youtube.com/watch?v=megL7mv8VzY,Southern Border Surveillance
,,,,,,
Strake SM,vs,Nueva AH,CSB 2025,Demo,https://youtu.be/Fo4SY5tg8gA,Southern Border Surveillance
,,,,,,
Durham BH,vs,Plano West LK,NSDA 2024,Finals,https://youtu.be/t7fKEsZohYY,EU Trade Deal
Plano West LK,vs,Brookings HN,NSDA 2024,Semis,https://youtu.be/RxQ8Pdetg2E,EU Trade Deal
Durham BH,vs,Archbishop Mitty AB,NSDA 2024,R12,https://youtu.be/z3dgbjcf35E,EU Trade Deal
Brentwood SN,vs,Chapin IW,NSDA 2024,R4,https://youtu.be/48J7BvPJa6c,EU Trade Deal
,,,,,,
BASIS McLean JR,vs,Langley RC,NCFL 2024,Octos,https://www.youtube.com/watch?v=niQ3v55YtqI,Latin American trade
,,,,,,
Saratoga GJ,vs,Langley CR,TOC 2024,Quarters,https://youtu.be/N1cM1l_Eq-0,UNSC
Southlake Carroll RY,vs,Seven Lakes ML,TOC 2024,R7,https://youtu.be/rydNxEUJvZ8,UNSC
BASIS McLean JR,vs,College Prep ER,TOC 2024,R5,https://youtu.be/0pYxHqTQhJI,UNSC
,,,,,,
MSJ KW,vs,Fairmont SS,Cal 2024,Semis,https://www.youtube.com/watch?v=GehpwAZGge8,Single Use Plastics
,,,,,,
Libertas AC,vs,Libertas ZH,Libertas Debate Academy 2024,Demo,https://youtu.be/wvIXHM9G8wI,Single Use Plastics
,,,,,,
Quarry Lane YY,vs,Fairmont MK,ASU 2024,R5,https://www.youtube.com/watch?v=UWu_wanTfLI,Section 230
,,,,,,
North Broward AS,vs,Strake GZ,Sunvite 2024,Finals,https://youtu.be/2b9ju4iRiR4,Section 230
,,,,,,
